postcode,location,district,state,mukim,postcode1,postcode2,postcode3
nan,KAMPUNG PARIT JARI,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG PENGHULU BAKAR,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG PENGKALAN ASAM,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG PESERI,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG PETAI HILIR,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG PETAI,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG POKOK JAWI,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG PONDOK,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG PULAU,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG REPOH DAGANG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG REPOH,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG SALANG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG SANTAN AUR,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG SANTAN BELAT,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG SANTAN ENAM,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG SANTAN MASJID,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG SANTAN,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG SEMPERING,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG SENA SEMATANG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG SENA,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG SENTANG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG SENTUA,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG SERIAB,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG SUNGAI BAKONG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG SUNGAI BARU,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG SUNGAI SANTAN,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG SUNGAI SIRAN,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG SURAU,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG SYED UMAR,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TANJUNG BULUH,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TANJUNG GORAH,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TANJUNG SILA,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TANJUNG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TEBING TINGGI,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TELAGA IDI,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TELAGA NYIUR MANIS,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TELOK EPA,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TELOK GELAM,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TELOK JAMBU,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TELOK KACANG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TELOK TUI,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TEMAK,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TENGAH ABI,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TITI TERAS,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TITI TOK BANDAR,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TOK DEWA,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TOK GONG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TOK JAWA,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TOK JEPUN,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TOK KANDANG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TOK KEMBONG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TOK LARAK,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TOK PEDUKA,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TOK PONG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG TOK SUMBING,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG UJUNG BUKIT,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG UTAN AJI,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG UTAN TEMAK,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG WANG BELIMBING,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG WANG BESAR,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG WANG ULU,KANGAR,PERLIS,,nan,nan,nan
nan,KANGAR,KANGAR,PERLIS,,nan,nan,nan
nan,KUBANG ARANG,KANGAR,PERLIS,,nan,nan,nan
nan,LORONG HAJI SEMAN,KANGAR,PERLIS,,nan,nan,nan
nan,LORONG KAMPUNG SENA,KANGAR,PERLIS,,nan,nan,nan
nan,LORONG NISAM,KANGAR,PERLIS,,nan,nan,nan
nan,LORONG SEKOLAH,KANGAR,PERLIS,,nan,nan,nan
nan,LUKUK GAJAH,KANGAR,PERLIS,,nan,nan,nan
nan,MENGKUANG LAYAR,KANGAR,PERLIS,,nan,nan,nan
nan,PADANG BOHOR,KANGAR,PERLIS,,nan,nan,nan
nan,PENGKALAN ASAM,KANGAR,PERLIS,,nan,nan,nan
nan,PERUMAHAN AWAM BOHOR LATEH,KANGAR,PERLIS,,nan,nan,nan
nan,PERUMAHAN AWAM SANTAN,KANGAR,PERLIS,,nan,nan,nan
nan,REPOH,KANGAR,PERLIS,,nan,nan,nan
nan,SENA RENDANG,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN ABU BAKAR MUNIR,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN AMAN,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN BAKAU EMAS,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN BEHOR INDAH,KANGAR,PERLIS,,nan,nan,nan
nan,TAMAN BINTONG MAJU,KANGAR,PERLIS,,nan,nan,nan
