postcode,location,district,state,mukim,postcode1,postcode2,postcode3
nan,KAMPUNG TEBOK,TAIPING,PERAK,,nan,nan,nan
nan,KAMPUNG ULU SEPETANG,TAIPING,PERAK,,nan,nan,nan
nan,PONDOK TANJONG,TAIPING,PERAK,,nan,nan,nan
nan,TAIPING (22.5 KM),TAIPING,PERAK,,nan,nan,nan
nan,TAMAN SERI KURAU,TAIPING,PERAK,,nan,nan,nan
nan,BATU 11 BALIK BUKIT,TAIPING,PERAK,,nan,nan,nan
nan,BUKIT LARUT,TAIPING,PERAK,,nan,nan,nan
nan,BUKIT PUTUS,TAIPING,PERAK,,nan,nan,nan
nan,KAMPUNG BALIK BUKIT,TAIPING,PERAK,,nan,nan,nan
nan,KAMPUNG BARU BALIK BUKIT,TAIPING,PERAK,,nan,nan,nan
nan,KAMPUNG JAYA,TAIPING,PERAK,,nan,nan,nan
nan,KAMPUNG PERMATANG TIMBUL,TAIPING,PERAK,,nan,nan,nan
nan,KAMPUNG SERA,TAIPING,PERAK,,nan,nan,nan
nan,LADANG RAJMAL,TAIPING,PERAK,,nan,nan,nan
nan,LADANG SUN SUN,TAIPING,PERAK,,nan,nan,nan
nan,LADANG YAM SENG,TAIPING,PERAK,,nan,nan,nan
nan,ULU SEPETANG,TAIPING,PERAK,,nan,nan,nan
nan,BANGGOL CHEMPAKA,TAIPING,PERAK,,nan,nan,nan
nan,BANGGOL RENDANG,TAIPING,PERAK,,nan,nan,nan
nan,BENDANG NIBONG,TAIPING,PERAK,,nan,nan,nan
nan,BUKIT CHEMPEDAK,TAIPING,PERAK,,nan,nan,nan
nan,BUKIT GANTANG,TAIPING,PERAK,,nan,nan,nan
nan,DUSUN BATAK,TAIPING,PERAK,,nan,nan,nan
nan,KAMPUNG TENGAH,TAIPING,PERAK,,nan,nan,nan
nan,PAYA KELUBI,TAIPING,PERAK,,nan,nan,nan
nan,SERI TAMAN,TAIPING,PERAK,,nan,nan,nan
nan,SUNGAI PETAI,TAIPING,PERAK,,nan,nan,nan
nan,SUNGAI SERAI,TAIPING,PERAK,,nan,nan,nan
nan,TAIPING (18 KM),TAIPING,PERAK,,nan,nan,nan
nan,JALAN ABDUL KARIM,SELAMA,PERAK,,nan,nan,nan
nan,JALAN LAMPIN,SELAMA,PERAK,,nan,nan,nan
nan,JALAN TAMAN MERDEKA,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG APPAVOO,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG AWANG,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG BARU TERAP,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG BATU 3,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG BATU 30,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG GUAH PETAI,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG GUDANG,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG ITAM,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG MEDAN,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG RAJA,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG SEBERANG RAKIT,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG SUNGAI MALAU LUAR,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG SUNGAI SEMUT,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG SUNGAI TERAP,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG TEBING TINGGI,SELAMA,PERAK,,nan,nan,nan
nan,SELAMA,SELAMA,PERAK,,nan,nan,nan
nan,SUNGAI LAMPING,SELAMA,PERAK,,nan,nan,nan
nan,TAMAN GURU,SELAMA,PERAK,,nan,nan,nan
nan,TAMAN JALAN MENTERI,SELAMA,PERAK,,nan,nan,nan
nan,TAMAN KAYA,SELAMA,PERAK,,nan,nan,nan
nan,TAMAN MENTERI,SELAMA,PERAK,,nan,nan,nan
nan,TAMAN MERDEKA,SELAMA,PERAK,,nan,nan,nan
nan,TAMAN NESA,SELAMA,PERAK,,nan,nan,nan
nan,TAMAN PERMAI (1 - 2),SELAMA,PERAK,,nan,nan,nan
nan,TAMAN PERMAI JAYA,SELAMA,PERAK,,nan,nan,nan
nan,TITI GAJAH,SELAMA,PERAK,,nan,nan,nan
nan,TAMAN SERI JAYA,SELAMA,PERAK,,nan,nan,nan
nan,FELDA IJOK,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG BARU BATU 5,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG BARU BATU 85,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG BATU 4,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG KUBU GAJAH,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG PAYAH GELI,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG SUNGAI DENDANG,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG SUNGAI JAMBU,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG SUNGAI LEMPONG,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG SUNGAI PENDANG,SELAMA,PERAK,,nan,nan,nan
nan,KAMPUNG TITI IJOK,SELAMA,PERAK,,nan,nan,nan
nan,KUBU GAJAH,SELAMA,PERAK,,nan,nan,nan
nan,SELAMA (6 KM),SELAMA,PERAK,,nan,nan,nan
nan,SUNGAI JAMBU,SELAMA,PERAK,,nan,nan,nan
nan,SUNGAI LEMBAH KELUANG,SELAMA,PERAK,,nan,nan,nan
nan,SUNGAI MALAU ESTATE,SELAMA,PERAK,,nan,nan,nan
nan,SUNGAI MALAU,SELAMA,PERAK,,nan,nan,nan
nan,TANAH FELCRA,SELAMA,PERAK,,nan,nan,nan
nan,TITI IJOK,SELAMA,PERAK,,nan,nan,nan
nan,BANGGOL JAS,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,BELUKAR HANTU,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,BUKIT TORAK,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,FELCRA SUMPIT BERAS,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,JALAN JPS SUNGAI BEDARAH,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,JALAN LUBUK GAJAH,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG ANAK SUNGAI RAMBUTAN,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG BANGGOL JAS,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG BARU (BUKIT PENYENGAT),RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG BATU 7,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG BATU ENAM,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG BATU TUJOH,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG BUKIT BERTAM,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG BUKIT BERTINGKAT,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG BUKIT SUNGAI NOR,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG BUKIT TORAK,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG CHIN AH LAU,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG CHIN AH LOW,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG DAKWAH,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG DAMAK HILIR,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG GAROK,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG KEBUN SAYOR,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG KUALA NOR,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG KUALA SUNGAI RAMBUTAN,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG LALANG,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG LUBOK BUAYA,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG LUBOK LONG,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG LUBOK PUSING,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG MASJID,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG MERBAU,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG PADANG KERING,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG PAYA,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG SUMATERA,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG SUMPIT BERAS,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG SUNGAI BASONG,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG SUNGAI BAYOR,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG SUNGAI BEDARAH (JALAN JPS),RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG SUNGAI KERONG,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG SUNGAI KUNING,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG SUNGAI NOR,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG SUNGAI RAMBUTAN,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG SUNGAI SETAR,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG TANJONG LENGKONG,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG TAPAH HULU,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG TAPAH TENGAH,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG TELOK GAROK,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG TELOK MAS,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG TELOK TAPAH,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG TENGAH (ULU MENGKUANG),RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG TENGAH BUKIT BERTAM,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG TENGAH RANTAU PANJANG,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG TENGAH TANJONG LENGKONG,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG TENGAH ULU MENGKUANG,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG TENGAH,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG TOK MAT SHAH,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG TUA,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG ULU DAMAK,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG ULU KEPONG,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG ULU LENGKONG,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KAMPUNG ULU NOR,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KEBUN SAYOR,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,KUALA SUNGAI RAMBUTAN,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,PADANG KERING,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,RANTAU PANJANG,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,SELAMA (154 - 158 KM),RANTAU PANJANG,PERAK,,nan,nan,nan
nan,SIMPANG EMPAT,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,SIMPANG TIGA,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,SUMPIT BERAS,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,SUNGAI AYER KUNING,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,SUNGAI BAYOR,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,SUNGAI BEDARAH HILIR,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,SUNGAI BEDARAH HULU,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,SUNGAI BEDARAH ULU,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,SUNGAI BEDARAH,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,SUNGAI KUNING,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,SUNGAI NOR,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,SUNGAI RAMBUTAN TENGAH,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,SUNGAI RAMBUTAN,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,SUNGAI SIPUTEH,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,TANJUNG LENGKONG,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,TAPAH HILIR,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,TAPAH TENGAH,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,TEBING TINGGI,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,TELUK TAPAH,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,ULU KERONG,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,ULU MENGKUANG,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,ULU NOR,RANTAU PANJANG,PERAK,,nan,nan,nan
nan,JALAN BAWAH SUNGAI BAKAU,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,JALAN BHARU,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,JALAN SEMPADAN (BATU 3 - 4 1/4),PARIT BUNTAR,PERAK,,nan,nan,nan
nan,KAMPUNG BENGGALI,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,KAMPUNG DENNISTOWN,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,KAMPUNG EOW SENG,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,KAMPUNG KEDAH,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,KAMPUNG MELAKA,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,KAMPUNG PERMATANG TOK MAHAT,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,KAWASAN PERINDUSTRIAN,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,MASJID BATU 5,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,MASJID TOK NGAH DARAT,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,PARIT BUNTAR,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,PARIT HAJI AMIN (JALAN BAHARU),PARIT BUNTAR,PERAK,,nan,nan,nan
nan,PARIT HAJI NAPIS (JALAN BAHARU),PARIT BUNTAR,PERAK,,nan,nan,nan
nan,PARIT HAJI TAHIR,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,PARIT HAJI WAHAB (JALAN BAHARU),PARIT BUNTAR,PERAK,,nan,nan,nan
nan,PARIT HAJI YUSOF 3,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,PARIT KASA,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,PARIT MAT ARIS,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,PARIT TOK NGAH (JALAN BAHARU),PARIT BUNTAR,PERAK,,nan,nan,nan
nan,PERUMAHAN PELADANG KOS,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,RUMAH AWAM KOS RENDAH 4,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,SIMPANG EMPAT JALAN SEMPADAN,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,SIMPANG EMPAT KAMPUNG KEDAH,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,SIMPANG LIMA,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,SIMPANG TIGA,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,SUNGAI BAKAU,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,SUNGAI RAWA,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,SUNGAI SETAR,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,TAMAN DAMAI 1 - 3,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,TAMAN INTAN,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,TAMAN ISMAIL RAOF,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,TAMAN KERIAN,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,TAMAN KRIAN PERMAI,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,TAMAN MURNI,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,TAMAN PARIT BUNTAR,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,TAMAN PEKAN BAHARU,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,TAMAN SERI TENGARA,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,TAMAN SERI WANGSAR,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,TAMAN SETIA JAYA,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,TAMAN WAWASAN,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,TITI SERONG,PARIT BUNTAR,PERAK,,nan,nan,nan
nan,BAGAN CINA,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,BAGAN SELATAN,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,BAGAN TIANG,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,BAGAN UTARA,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,JALAN PANTAI (BATU 10),TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,KAMPUNG BAGAN TIANG,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,KAMPUNG BARU NELAYAN,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,KAMPUNG KEDAI EMPAT,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,KAMPUNG NELAYAN,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,KAMPUNG PASIR GEDABU,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,KAMPUNG SUNGAI KOTA,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,KAMPUNG TANAH BARU,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,KAMPUNG TERSUSUN BAGAN TIANG,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,KUALA BAGAN TIANG,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,MASJID PARIT HAJI WAHAB,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT 310,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT 377,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT 8D-L,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT BATU 11,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT GUAN,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT HAJI ADNAN,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT HAJI AWI,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT HAJI NASIR,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT HAJI WAHAB ATAS,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT HAJI WAHAB BAWAH,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT HAJI WAHAB,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT LEBAI AKHIR BAGAN TIANG,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT LEBAI AKHIR,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT MAT ALAM,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT MAT ALI,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT SUNGAI BETUL,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT SUNGAI LABU ATAS,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT SUNGAI LABU BAWAH,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT TALIAIR KERANI,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT TANJONG PIANDANG,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT TEBOK HAJI MUSA,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT TOK NGAH ATAS,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT TOK NGAH BATAS RAJA,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT TOK NGAH BAWAH,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,PARIT TOK NGAH,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,SUNGAI BETUL ATAS,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,SUNGAI BETUL,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,SUNGAI BURONG,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,SUNGAI KOTA,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,SUNGAI LABU,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,TALI AIR 206 SUNGAI BETUL ATAS,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,TALI AIR BESAR,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,TAMAN PIANDANG INDAH,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,TAMAN SENTOSA,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,TANAH BARU,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,TANJUNG PIANDANG,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,TEBOK HAJI MUSA,TANJONG PIANDANG,PERAK,,nan,nan,nan
nan,ALOR PENYENGAT,BAGAN SERAI,PERAK,,nan,nan,nan
nan,ALOR PONGSU,BAGAN SERAI,PERAK,,nan,nan,nan
nan,BAGAN SERAI,BAGAN SERAI,PERAK,,nan,nan,nan
nan,BAGAN TEBU,BAGAN SERAI,PERAK,,nan,nan,nan
nan,JALAN KAMPUNG SOON LEE,BAGAN SERAI,PERAK,,nan,nan,nan
nan,JALAN KURAU (BATU 1/4 - 3 1/2),BAGAN SERAI,PERAK,,nan,nan,nan
nan,JALAN SELAMA (BATU 1/4 - 1),BAGAN SERAI,PERAK,,nan,nan,nan
nan,JALAN TAIPING (BATU 9 - 11 1/2),BAGAN SERAI,PERAK,,nan,nan,nan
nan,KAMPUNG ALOR KUBU,BAGAN SERAI,PERAK,,nan,nan,nan
nan,KAMPUNG ALOR SINGA,BAGAN SERAI,PERAK,,nan,nan,nan
nan,KAMPUNG ALOR SINGGAH,BAGAN SERAI,PERAK,,nan,nan,nan
nan,KAMPUNG BARU,BAGAN SERAI,PERAK,,nan,nan,nan
nan,KAMPUNG BRIAH (BATU 8),BAGAN SERAI,PERAK,,nan,nan,nan
nan,KAMPUNG BRIAH MATANG PASIR (BATU 8),BAGAN SERAI,PERAK,,nan,nan,nan
nan,KAMPUNG DEPAN BALAI,BAGAN SERAI,PERAK,,nan,nan,nan
nan,KAMPUNG INDIA,BAGAN SERAI,PERAK,,nan,nan,nan
nan,KAMPUNG KEDAH,BAGAN SERAI,PERAK,,nan,nan,nan
nan,KAMPUNG KERAMAT,BAGAN SERAI,PERAK,,nan,nan,nan
nan,KAMPUNG MASJID,BAGAN SERAI,PERAK,,nan,nan,nan
nan,KAMPUNG PADRI,BAGAN SERAI,PERAK,,nan,nan,nan
nan,KAMPUNG SOON LEE,BAGAN SERAI,PERAK,,nan,nan,nan
nan,KAMPUNG TELOK,BAGAN SERAI,PERAK,,nan,nan,nan
nan,KAMPUNG YASIN,BAGAN SERAI,PERAK,,nan,nan,nan
nan,SUNGAI BOGAK (11 KM),BAGAN SERAI,PERAK,,nan,nan,nan
nan,KAMPUNG BRIAH MATANG PASI (13 KM),BAGAN SERAI,PERAK,,nan,nan,nan
nan,LADANG PARSHA,BAGAN SERAI,PERAK,,nan,nan,nan
nan,LEMBAH BARIAH,BAGAN SERAI,PERAK,,nan,nan,nan
nan,MATANG GERDU,BAGAN SERAI,PERAK,,nan,nan,nan
nan,MATANG JELUTONG,BAGAN SERAI,PERAK,,nan,nan,nan
nan,MATANG PASIR,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT 3,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT 8,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT 804,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT ABU HASSAN,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT ALI KALLANG (ATAS),BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT ALI KALLANG (BAWAH),BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT AYER HITAM,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT GABIS (ATAS & BAWAH),BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT GABIS,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT HAJI ALI,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT HAJI AMAN,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT HAJI HASSAN,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT HAJI HUSSAIN,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT HAJI ISMAIL,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT HAJI KASIM,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT HAJI TAHIR,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT HAJI TAIB,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT HAJI TAIN 1,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT JAWA,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT LEBAI KADIR,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT MAT KELING,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT MENTARA (2 - 3),BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT SIMPANG 4,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT SIMPANG 5,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT SULAIMAN,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT SUNGAI BOGAK,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT SUNGAI DUNGUN,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT SUNGAI,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PARIT TUAN BRIDGE,BAGAN SERAI,PERAK,,nan,nan,nan
nan,PERUMAHAN PELADANG,BAGAN SERAI,PERAK,,nan,nan,nan
nan,SAMAGAGAH ESTATE,BAGAN SERAI,PERAK,,nan,nan,nan
nan,SUNGAI BOGAK (BATU 7),BAGAN SERAI,PERAK,,nan,nan,nan
nan,SUNGAI BOGAK,BAGAN SERAI,PERAK,,nan,nan,nan
nan,SUNGAI BUTAT,BAGAN SERAI,PERAK,,nan,nan,nan
nan,SUNGAI DUNGUN,BAGAN SERAI,PERAK,,nan,nan,nan
nan,SUNGAI GEDONG,BAGAN SERAI,PERAK,,nan,nan,nan
nan,SUNGAI PUTAT,BAGAN SERAI,PERAK,,nan,nan,nan
nan,SUNGAI RAWA,BAGAN SERAI,PERAK,,nan,nan,nan
nan,SUNGAI SEMAMBU,BAGAN SERAI,PERAK,,nan,nan,nan
nan,SUNGAI SEMANG,BAGAN SERAI,PERAK,,nan,nan,nan
